#=MarketMaker,EventSymbol,EventTime,ExchangeCode,MarketMaker,BidTime,BidPrice,BidSize,BidCount,AskTime,AskPrice,AskSize,AskCount
MarketMaker,AAPL,20190806-185959.999-0500,Q,XGWD,20190806-150007-0500,188.69,0,0,20190806-150007-0500,204.42,0,0,EventFlags=SNAPSHOT_BEGIN
MarketMaker,AAPL,20190806-185959.999-0500,Q,WSEA,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,WEDB,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,WCHV,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,WBLR,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,WABR,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,VIRT,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,VERT,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,VALX,20190806-150007-0500,186.91,0,0,20190806-150007-0500,204.62,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,UBSS,20190806-150008-0500,196.7,0,0,20190806-150008-0500,197.28,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,TSSM,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,SUFI,20190806-150007-0500,188.68,0,0,20190806-150007-0500,204.48,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,STXG,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,STFL,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,SSUS,20190806-150007-0500,188.66,0,0,20190806-150007-0500,204.48,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,SPHN,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,SOHO,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,SGAS,20190806-150007-0500,184.57,0,0,20190806-150007-0500,208.21,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,RILY,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,RHCO,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,RBCM,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,RAJA,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,PUMA,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,PIPR,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,OHOS,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,NSDQ,20190806-190000-0500,196.01,0,0,20190806-190000-0500,196.44,0,0
